LEDGER_KEY,LEDGER_ID,LEDGER_NAME,LEGAL_ENTITY,BUSINESS_UNIT,REGION,COUNTRY,CITY,BASE_CURRENCY,REPORTING_CURRENCY,ACCOUNTING_METHOD,CHART_OF_ACCOUNT,COST_CENTER,PROFIT_CENTER,STORE_CODE,STORE_NAME,STORE_TYPE,STATUS,CREATED_DATE,UPDATED_DATE,PAN_NUMBER,GST_NUMBER,COMMENTS,CREATED_BY,UPDATED_BY,LOAD_DATE,SOURCE_SYSTEM,OPEN_DATE,RECORD_STATUS,TAX_REGION
1,LDG0001,dubai mall gold souk ledger,House of Jewels UAE Ltd,BU-Middle_East,Middle East,UAE,Dubai,AED,INR,GAAP,COA-0001,CC-DUBAI_GOLD,PC-DUBAI_GOLD,DUBAI_GOLD,Dubai Mall Gold Souk,Retail,active,2020-12-01,2021-01-01,JHKIP7600V,UAE-TRN-100234567,Ledger for Dubai Mall Gold Souk,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,UAE-VAT
2,LDG0002,house of jewels London Ledger,House of Jewels UK Ltd,BU-Europe,Europe,UK,London,GBP,INR,IFRS,COA-0002,CC-HOJ_LONDON,PC-HOJ_LONDON,HOJ_LONDON,house of jewels London,Retail,Active,2020-12-01,2021-01-01,IRRDS0563E,GB-123456789,Ledger for house of jewels London,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,UK-VAT
3,LDG0003,house of jewels Singapore Ledger,House of Jewels Singapore Ltd,BU-Asia_Pacific,Asia Pacific,Singapore,Singapore,SGD,INR,GAAP,COA-0003,CC-HOJ_SINGAPORE,PC-HOJ_SINGAPORE,HOJ_SINGAPORE,house of jewels Singapore,Retail,Active,2020-12-01,2021-01-01,EFYMF1081Y,SG-201234567A,Ledger for house of jewels Singapore,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,SG-GST
4,LDG0004,house of jewels Doha Ledger,House of Jewels Qatar Ltd,BU-Middle_East,Middle East,Qatar,Doha,QAR,INR,Ind-AS,COA-0004,CC-HOJ_DOHA,PC-HOJ_DOHA,HOJ_DOHA,house of jewels Doha,Retail,Active,2020-12-01,2021-01-01,SQXSB3796Y,QA-TRN-500123456,Ledger for house of jewels Doha,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,QA-VAT
5,LDG0005,house of jewels Damas Riyadh Ledger,House of Jewels Saudi Arabia Ltd,BU-Middle_East,Middle East,Saudi Arabia,Riyadh,SAR,INR,IFRS,COA-0005,CC-HOJ_RIYADH,PC-HOJ_RIYADH,HOJ_RIYADH,house of jewels Damas Riyadh,Retail,active,2020-12-01,2021-01-01,MHJNZ8812U,SA-TRN-300012345,Ledger for house of jewels Damas Riyadh,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,SA-VAT
6,LDG0006,Tiffany New York Ledger,House of Jewels USA Ltd,BU-North_America,North America,USA,New York,USD,INR,IFRS,COA-0006,CC-TIFFANY_NY,PC-TIFFANY_NY,TIFFANY_NY,Tiffany New York,Flagship,ACTIVE,2020-12-01,2021-01-01,NVCXV8943L,US-EIN-123456789,Ledger for Tiffany New York,sys_admin,,2026-06-17,GitHub,2021-01-01,Active,US-SALES-TAX
7,LDG0007,Cartier Paris Ledger,House of Jewels France Ltd,BU-Europe,Europe,France,Paris,EUR,INR,Ind-AS,COA-0007,CC-CARTIER_PARIS,PC-CARTIER_PARIS,CARTIER_PARIS,Cartier Paris,Flagship,Active,2020-12-01,2021-01-01,HVSDS4002E,FR-TVA-12345678901,Ledger for Cartier Paris,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,EU-VAT-FR
8,LDG0008,house of jewels Hong Kong Ledger,House of Jewels Hong Kong Ltd,BU-Asia_Pacific,Asia Pacific,Hong Kong,Hong Kong,HKD,INR,IFRS,COA-0008,CC-HOJ_HK,PC-HOJ_HK,HOJ_HK,house of jewels Hong Kong,Retail,active,2020-12-01,2021-01-01,LCXPA5214T,HK-BR-12345678,,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,HK-NO-TAX
9,LDG0009,house of jewels Sydney Ledger,House of Jewels Australia Ltd,BU-Asia_Pacific,Asia Pacific,Australia,Sydney,AUD,INR,Ind-AS,COA-0009,CC-HOJ_SYDNEY,PC-HOJ_SYDNEY,HOJ_SYDNEY,house of jewels Sydney,Retail,active,2020-12-01,2021-01-01,KMQZG0737U,AU-ABN-12345678901,Ledger for house of jewels Sydney,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,AU-GST
10,LDG0010,house of jewels Toronto Ledger,House of Jewels Canada Ltd,BU-North_America,North America,Canada,Toronto,CAD,INR,Ind-AS,COA-0010,CC-HOJ_TORONTO,PC-HOJ_TORONTO,HOJ_TORONTO,house of jewels Toronto,Retail,active,2020-12-01,2021-01-01,SQVBU4201B,CA-BN-123456789RT0001,Ledger for house of jewels Toronto,sys_admin,finance_head,2026-06-17,GitHub,2021-01-01,Active,CA-HST
